concept,description_concept,type_concept,term,type_term,description_term,generateur,prefix,gender,conjugaison,ehasElisionlision,accordFemSing,accordFemPlu,accordMasSing,accordMasPlu
,,,generateur:[a_pur],generateur,,,,,,,,,,
,,,generateur:[a_total],generateur,,,,,,,,,,
a_absorbé,,a,adjectif:absorb ée ées é és,adjectif,,,absorb,,,1,ée,ées,é,és
a_abstrait,,a,adjectif:abstrai te tes t ts,adjectif,,,abstrai,,,1,te,tes,t,ts
a_absurde,,a,adjectif:absurd e es e es,adjectif,,,absurd,,,1,e,es,e,es
a_absurde 1,,a,adjectif:déraisonnable  s  s,adjectif,,,déraisonnable,,,0,,s,,s
,,,adjectif:aberran te tes t ts,adjectif,,,aberran,,,1,te,tes,t,ts
,,,adjectif:alogique  s  s,adjectif,,,alogique,,,1,,s,,s
,,,adjectif:extravagant e es  s,adjectif,,,extravagant,,,1,e,es,,s
,,,adjectif:extravagante  s extravagante s,adjectif,,,extravagante,,,1,,s,extravagante,s
,,,adjectif:illogique  s  s,adjectif,,,illogique,,,1,,s,,s
,,,adjectif:incompréhensibl e es e es,adjectif,,,incompréhensibl,,,1,e,es,e,es
,,,adjectif:inept e es e es,adjectif,,,inept,,,1,e,es,e,es
,,,adjectif:insensé e es  s,adjectif,,,insensé,,,1,e,es,,s
,,,generateur:[a_absurde],generateur,,,,,,,,,,
,,,generateur:[a_confus 1],generateur,,,,,,,,,,
,,,generateur:[a_faux],generateur,,,,,,,,,,
,,,generateur:[a_impossible],generateur,,,,,,,,,,
,,,generateur:[a_incohérent],generateur,,,,,,,,,,
,,,generateur:[a_stupide],generateur,,,,,,,,,,
a_abusif,,a,adjectif:abusi ve ves f fs,adjectif,,,abusi,,,1,ve,ves,f,fs
a_accablant,,a,adjectif:accablan te tes t ts,adjectif,,,accablan,,,1,te,tes,t,ts
a_accablé,,a,adjectif:accabl ée ées é és,adjectif,,,accabl,,,1,ée,ées,é,és
a_acceptable,,a,adjectif:acceptabl e es e es,adjectif,,,acceptabl,,,1,e,es,e,es
a_accepté,,a,adjectif:accept ée ées é és,adjectif,,,accept,,,1,ée,ées,é,és
a_accessible,,a,adjectif:accessibl e es e es,adjectif,,,accessibl,,,1,e,es,e,es
a_accessoire,,a,adjectif:accessoir e es e es,adjectif,,,accessoir,,,1,e,es,e,es
a_accidentel,,a,adjectif:accidente lle lles l ls,adjectif,,,accidente,,,1,lle,lles,l,ls
a_accompagné,,a,adjectif:accompagn ée ées é és,adjectif,,,accompagn,,,1,ée,ées,é,és
a_accompli,,a,adjectif:accompl ie ies i is,adjectif,,,accompl,,,1,ie,ies,i,is
a_accordé,,a,adjectif:accord ée ées é és,adjectif,,,accord,,,1,ée,ées,é,és
a_accroché,,a,adjectif:accroch ée ées é és,adjectif,,,accroch,,,1,ée,ées,é,és
a_accroupi,,a,adjectif:accroup ie ies i is,adjectif,,,accroup,,,1,ie,ies,i,is
a_accumulé,,a,adjectif:accumul ée ées é és,adjectif,,,accumul,,,1,ée,ées,é,és
a_accusé,,a,adjectif:accus ée ées é és,adjectif,,,accus,,,1,ée,ées,é,és
a_acéphale,,a,adjectif:acéphal e es e es,adjectif,,,acéphal,,,1,e,es,e,es
a_acheté,,a,adjectif:achet ée ées é és,adjectif,,,achet,,,1,ée,ées,é,és
a_achevé,,a,adjectif:achev ée ées é és,adjectif,,,achev,,,1,ée,ées,é,és
a_acide,,a,adjectif:acid e es e es,adjectif,,,acid,,,1,e,es,e,es
a_âcre,,a,adjectif:âcre  s  s,adjectif,,,âcre,,,1,,s,,s
a_acteur,,a,adjectif:act rice rices eur eurs,adjectif,,,act,,,1,rice,rices,eur,eurs
a_actif,,a,adjectif:acti ve ves f fs,adjectif,,,acti,,,1,ve,ves,f,fs
a_actuel,,a,adjectif:actue lle lles l ls,adjectif,,,actue,,,1,lle,lles,l,ls
a_adapté,,a,adjectif:adapt ée ées é és,adjectif,,,adapt,,,1,ée,ées,é,és
a_admirable,,a,adjectif:admirabl e es e es,adjectif,,,admirabl,,,1,e,es,e,es
a_adolescent,,a,adjectif:adolescen te tes t ts,adjectif,,,adolescen,,,1,te,tes,t,ts
a_adorable,,a,adjectif:adorabl e es e es,adjectif,,,adorabl,,,1,e,es,e,es
a_adversaire,,a,adjectif:adversair e es e es,adjectif,,,adversair,,,1,e,es,e,es
a_affaibli,,a,adjectif:affaibl ie ies i is,adjectif,,,affaibl,,,1,ie,ies,i,is
a_affamé,,a,adjectif:affam ée ées é és,adjectif,,,affam,,,1,ée,ées,é,és
a_affiché,,a,adjectif:affich ée ées é és,adjectif,,,affich,,,1,ée,ées,é,és
a_affirmé,,a,adjectif:affirm ée ées é és,adjectif,,,affirm,,,0,ée,ées,é,és
a_affolé,,a,adjectif:affol ée ées é és,adjectif,,,affol,,,1,ée,ées,é,és
a_affreux,,a,adjectif:affreu se ses x x,adjectif,,,affreu,,,1,se,ses,x,x
a_affreux 1,,a,adjectif:abominabl e es e es,adjectif,,,abominabl,,,1,e,es,e,es
,,,adjectif:effroyabl e es e es,adjectif,,,effroyabl,,,1,e,es,e,es
,,,adjectif:hideu se ses x x,adjectif,,,hideu,,,1,se,ses,x,x
,,,adjectif:ignoble  s  s,adjectif,,,ignoble,,,1,,s,,s
,,,adjectif:intolérable  s  s,adjectif,,,intolérable,,,1,,s,,s
,,,generateur:[a_affreux],generateur,,,,,,,,,,
,,,generateur:[a_atroce],generateur,,,,,,,,,,
,,,generateur:[a_effrayant],generateur,,,,,,,,,,
,,,generateur:[a_horrible],generateur,,,,,,,,,,
,,,generateur:[a_terrible],generateur,,,,,,,,,,
a_affublé,,a,adjectif:affubl ée ées é és,adjectif,,,affubl,,,1,ée,ées,é,és
a_agacé,,a,adjectif:agac ée ées é és,adjectif,,,agac,,,1,ée,ées,é,és
a_âgé,,a,adjectif:âg ée ées é és,adjectif,,,âg,,,1,ée,ées,é,és
a_agile,,a,adjectif:agil e es e es,adjectif,,,agil,,,1,e,es,e,es
a_agité,,a,adjectif:agit ée ées é és,adjectif,,,agit,,,1,ée,ées,é,és
a_agraphé,,a,adjectif:agraph ée ées é és,adjectif,,,agraph,,,1,ée,ées,é,és
a_agréable,,a,adjectif:agréabl e es e es,adjectif,,,agréabl,,,1,e,es,e,es
a_agressif 1,,a,adjectif:tumultueu se ses x x,adjectif,,,tumultueu,,,0,se,ses,x,x
,,,adjectif:vipéri ne nes n ns,adjectif,,,vipéri,,,0,ne,nes,n,ns
,,,adjectif:acariâtr e es e es,adjectif,,,acariâtr,,,1,e,es,e,es
,,,adjectif:acerb e es e es,adjectif,,,acerb,,,1,e,es,e,es
,,,generateur:[a_agressif],generateur,,,,,,,,,,
,,,generateur:[a_aigre],generateur,,,,,,,,,,
,,,generateur:[a_belliqueux],generateur,,,,,,,,,,
,,,generateur:[a_cruel],generateur,,,,,,,,,,
,,,generateur:[a_dur],generateur,,,,,,,,,,
,,,generateur:[a_hostile],generateur,,,,,,,,,,
,,,generateur:[a_hypocrite],generateur,,,,,,,,,,
,,,generateur:[a_impétueux],generateur,,,,,,,,,,
,,,generateur:[a_imprévu],generateur,,,,,,,,,,
,,,generateur:[a_provocateur],generateur,,,,,,,,,,
,,,generateur:[a_sournois],generateur,,,,,,,,,,
,,,generateur:[a_tendu],generateur,,,,,,,,,,
a_ahuri,,a,adjectif:ahur ie ies i is,adjectif,,,ahur,,,1,ie,ies,i,is
a_ahuri 1,,a,adjectif:choqu ée ées é és,adjectif,,,choqu,,,0,ée,ées,é,és
,,,generateur:[a_accablé],generateur,,,,,,,,,,
,,,generateur:[a_affolé],generateur,,,,,,,,,,
,,,generateur:[a_ahuri],generateur,,,,,,,,,,
,,,generateur:[a_égaré],generateur,,,,,,,,,,
,,,generateur:[a_fatigué],generateur,,,,,,,,,,
,,,generateur:[a_habité],generateur,,,,,,,,,,
,,,generateur:[a_noyé],generateur,,,,,,,,,,
,,,generateur:[a_oppressé],generateur,,,,,,,,,,
,,,generateur:[a_pétrifié],generateur,,,,,,,,,,
a_aidé,,a,adjectif:aid ée ées é és,adjectif,,,aid,,,1,ée,ées,é,és
a_aigre,,a,adjectif:aigr e es e es,adjectif,,,aigr,,,1,e,es,e,es
a_aiguë,,a,adjectif:aig uë ues u us,adjectif,,,aig,,,1,uë,ues,u,us
a_aimable,,a,adjectif:aimabl e es e es,adjectif,,,aimabl,,,1,e,es,e,es
a_aimant,,a,adjectif:aiman te tes t ts,adjectif,,,aiman,,,1,te,tes,t,ts
a_aimé,,a,adjectif:aim ée ées é és,adjectif,,,aim,,,1,ée,ées,é,és
a_aisé,,a,adjectif:ais ée ées é és,adjectif,,,ais,,,1,ée,ées,é,és
a_ajouté,,a,adjectif:ajout ée ées é és,adjectif,,,ajout,,,1,ée,ées,é,és
a_alangui,,a,adjectif:alangu ie ies i is,adjectif,,,alangu,,,1,ie,ies,i,is
a_alcoolique,,a,adjectif:alcooliqu e es e es,adjectif,,,alcooliqu,,,1,e,es,e,es
a_aléatoire,,a,adjectif:aléatoir e es e es,adjectif,,,aléatoir,,,1,e,es,e,es
a_aligné,,a,adjectif:align ée ées é és,adjectif,,,align,,,1,ée,ées,é,és
a_allé,,a,adjectif:all ée ées é és,adjectif,,,all,,,1,ée,ées,é,és
a_allergène,,a,adjectif:allergèn e es e es,adjectif,,,allergèn,,,1,e,es,e,es
a_allergique,,a,adjectif:allergiqu e es e es,adjectif,,,allergiqu,,,1,e,es,e,es
a_allongé,,a,adjectif:allong ée ées é és,adjectif,,,allong,,,1,ée,ées,é,és
a_allumé,,a,adjectif:allum ée ées é és,adjectif,,,allum,,,1,ée,ées,é,és
a_amant,,a,adjectif:aman te tes t ts,adjectif,,,aman,,,1,te,tes,t,ts
a_amateur,,a,adjectif:amat rice rices eur eurs,adjectif,,,amat,,,1,rice,rices,eur,eurs
a_ambigu,,a,adjectif:ambig üe ues u us,adjectif,,,ambig,,,1,üe,ues,u,us
a_ambulant,,a,adjectif:ambulan te tes t ts,adjectif,,,ambulan,,,1,te,tes,t,ts
a_amené,,a,adjectif:amen ée ées é és,adjectif,,,amen,,,1,ée,ées,é,és
a_amer,,a,adjectif:am ère ères er ers,adjectif,,,am,,,1,ère,ères,er,ers
a_amer 1,,a,adjectif:sur e es  s,adjectif,,,sur,,,0,e,es,,s
,,,adjectif:am ère ères er ers,adjectif,,,am,,,1,ère,ères,er,ers
,,,adjectif:âcr e es e es,adjectif,,,âcr,,,1,e,es,e,es
,,,generateur:[a_amer],generateur,,,,,,,,,,
,,,generateur:[a_fade],generateur,,,,,,,,,,
a_amer 2,,a,adjectif:blessan te tes t ts,adjectif,,,blessan,,,0,te,tes,t,ts
,,,adjectif:caustiqu e es e es,adjectif,,,caustiqu,,,0,e,es,e,es
,,,adjectif:espiègl e es e es,adjectif,,,espiègl,,,0,e,es,e,es
,,,adjectif:incisi ve ves f fs,adjectif,,,incisi,,,0,ve,ves,f,fs
,,,adjectif:ironiqu e es e es,adjectif,,,ironiqu,,,0,e,es,e,es
a_américain,,a,adjectif:américai ne nes n ns,adjectif,,,américai,,,1,ne,nes,n,ns
a_ami,,a,adjectif:am ie ies i is,adjectif,,,am,,,1,ie,ies,i,is
a_amical,,a,adjectif:amica le les l ux,adjectif,,,amica,,,1,le,les,l,ux
a_amoureux,,a,adjectif:amoureu se ses x x,adjectif,,,amoureu,,,1,se,ses,x,x
a_amoureux 1,,a,adjectif:affecti ve ves f fs,adjectif,,,affecti,,,1,ve,ves,f,fs
,,,generateur:[a_amoureux],generateur,,,,,,,,,,
,,,generateur:[a_attentif],generateur,,,,,,,,,,
,,,generateur:[a_conscient],generateur,,,,,,,,,,
,,,generateur:[a_lumineux],generateur,,,,,,,,,,
,,,generateur:[a_passionné],generateur,,,,,,,,,,
,,,generateur:[a_sexuel],generateur,,,,,,,,,,
,,,generateur:[a_tendre],generateur,,,,,,,,,,
a_amoureux 2,,a,adjectif:galan te tes t ts,adjectif,,,galan,,,0,te,tes,t,ts
,,,adjectif:énamour ée ées é és,adjectif,,,énamour,,,1,ée,ées,é,és
,,,adjectif:épris e es,adjectif,,,épris,,,1,e,es,,
,,,generateur:[a_érotique],generateur,,,,,,,,,,
,,,generateur:[a_excité],generateur,,,,,,,,,,
,,,generateur:[a_sensuel],generateur,,,,,,,,,,
,,,generateur:[a_voluptueux],generateur,,,,,,,,,,
a_amoureux 3,,a,adjectif:énamouré e es  s,adjectif,,,énamouré,,,1,e,es,,s
,,,adjectif:épri se ses s s,adjectif,,,épri,,,1,se,ses,s,s
a_ample 1,,a,adjectif:poussiéreu se ses x x,adjectif,,,poussiéreu,,,0,se,ses,x,x
,,,adjectif:ampl e es e es,adjectif,,,ampl,,,1,e,es,e,es
,,,generateur:[129#] [50|m_forme],generateur,,,,,,,,,,
,,,generateur:[a_long],generateur,,,,,,,,,,
,,,generateur:[a_sale],generateur,,,,,,,,,,
a_amusé,,a,adjectif:amus ée ées é és,adjectif,,,amus,,,1,ée,ées,é,és
a_ancien,,a,adjectif:ancie nne nnes n ns,adjectif,,,ancie,,,1,nne,nnes,n,ns
a_ancien 1,,a,generateur:[a_ancien],generateur,,,,,,,,,,
,,,generateur:[a_antique],generateur,,,,,,,,,,
,,,generateur:[a_vieux],generateur,,,,,,,,,,
a_andalou,,a,adjectif:andalo use uses u us,adjectif,,,andalo,,,1,use,uses,u,us
a_andro,,a,adjectif: femme femmes homme hommes,adjectif,,,,,,0,femme,femmes,homme,hommes
a_androgyne,,a,adjectif:androgyn e es e es,adjectif,,,androgyn,,,1,e,es,e,es
a_anglais,,a,adjectif:anglai se ses s s,adjectif,,,anglai,,,1,se,ses,s,s
a_angoissé,,a,adjectif:angoiss ée ées é és,adjectif,,,angoiss,,,1,ée,ées,é,és
a_angulaire,,a,adjectif:angulair e es e es,adjectif,,,angulair,,,1,e,es,e,es
a_anguleux,,a,adjectif:anguleu se ses x x,adjectif,,,anguleu,,,1,se,ses,x,x
a_animal,,a,adjectif:anima le les l ux,adjectif,,,anima,,,1,le,les,l,ux
a_annoncé,,a,adjectif:annonc ée ées é és,adjectif,,,annonc,,,1,ée,ées,é,és
a_annuel,,a,adjectif:annue lle lles l ls,adjectif,,,annue,,,1,lle,lles,l,ls
a_anodin,,a,adjectif:anodi ne nes n ns,adjectif,,,anodi,,,1,ne,nes,n,ns
a_anonyme,,a,adjectif:anonym e es e es,adjectif,,,anonym,,,1,e,es,e,es
a_anormal,,a,adjectif:anorma le les l ux,adjectif,,,anorma,,,1,le,les,l,ux
a_antérieur,,a,adjectif:antérieu re res r rs,adjectif,,,antérieu,,,1,re,res,r,rs
a_antiquaire,,a,adjectif:antiquair e es e es,adjectif,,,antiquair,,,1,e,es,e,es
a_antique,,a,adjectif:antiqu e es e es,adjectif,,,antiqu,,,1,e,es,e,es
a_anxieux,,a,adjectif:anxieu se ses x x,adjectif,,,anxieu,,,1,se,ses,x,x
a_apaisant,,a,adjectif:apaisan te tes t ts,adjectif,,,apaisan,,,1,te,tes,t,ts
a_apathique,,a,adjectif:apathiqu e es e es,adjectif,,,apathiqu,,,1,e,es,e,es
a_aperçu,,a,adjectif:aperç ue ues u us,adjectif,,,aperç,,,1,ue,ues,u,us
a_apéritif,,a,adjectif:apériti ve ves f fs,adjectif,,,apériti,,,1,ve,ves,f,fs
a_apeuré,,a,adjectif:apeur ée ées é és,adjectif,,,apeur,,,1,ée,ées,é,és
a_aphone,,a,adjectif:aphon e es e es,adjectif,,,aphon,,,1,e,es,e,es
a_apparent,,a,adjectif:apparen te tes t ts,adjectif,,,apparen,,,1,te,tes,t,ts
a_apparenté,,a,adjectif:apparent ée ées é és,adjectif,,,apparent,,,1,ée,ées,é,és
a_appartenu,,a,adjectif:apparten ue ues u us,adjectif,,,apparten,,,0,ue,ues,u,us
a_apparu,,a,adjectif:appar ue ues u us,adjectif,,,appar,,,1,ue,ues,u,us
a_appelé,,a,adjectif:appel ée ées é és,adjectif,,,appel,,,1,ée,ées,é,és
a_appliqué,,a,adjectif:appliqu ée ées é és,adjectif,,,appliqu,,,1,ée,ées,é,és
a_apprécié,,a,adjectif:appréci ée ées é és,adjectif,,,appréci,,,1,ée,ées,é,és
a_appris,,a,adjectif:appri se ses s s,adjectif,,,appri,,,1,se,ses,s,s
a_approfondi,,a,adjectif:approfond ie ies i is,adjectif,,,approfond,,,1,ie,ies,i,is
a_approximatif,,a,adjectif:approximati ve ves f fs,adjectif,,,approximati,,,1,ve,ves,f,fs
a_aquatique,,a,adjectif:aquatiqu e es e es,adjectif,,,aquatiqu,,,1,e,es,e,es
a_aqueux,,a,adjectif:aqueu se ses x x,adjectif,,,aqueu,,,1,se,ses,x,x
a_arbitraire,,a,adjectif:arbitrair e es e es,adjectif,,,arbitrair,,,1,e,es,e,es
a_ardant,,a,adjectif:ardan te tes t ts,adjectif,,,ardan,,,1,te,tes,t,ts
a_ardant 1,,a,adjectif:cuisant e es  s,adjectif,,,cuisant,,,0,e,es,,s
,,,adjectif:fougueu se ses x x,adjectif,,,fougueu,,,0,se,ses,x,x
,,,adjectif:fébril e es e es,adjectif,,,fébril,,,0,e,es,e,es
,,,adjectif:langoureu se ses x x,adjectif,,,langoureu,,,0,se,ses,x,x
,,,adjectif:volupteu se ses x x,adjectif,,,volupteu,,,0,se,ses,x,x
,,,adjectif:érupti ve ves f fs,adjectif,,,érupti,,,1,ve,ves,f,fs
,,,generateur:[a_fou],generateur,,,,,,,,,,
,,,generateur:[a_profond],generateur,,,,,,,,,,
,,,generateur:[a_violent],generateur,,,,,,,,,,
a_ardant 2,,a,adjectif:enthousiast e es e es,adjectif,,,enthousiast,,,1,e,es,e,es
,,,adjectif:impérieu se ses x x,adjectif,,,impérieu,,,1,se,ses,x,x
a_ardent,,a,adjectif:arden te tes t ts,adjectif,,,arden,,,1,te,tes,t,ts
a_argent,,a,adjectif:argent,adjectif,,,argent,,,0,,,,
a_argenté,,a,adjectif:argent ée ées é és,adjectif,,,argent,,,1,ée,ées,é,és
a_aristocrate,,a,adjectif:aristocrat e es e es,adjectif,,,aristocrat,,,1,e,es,e,es
a_aristocratique,,a,adjectif:aristocratiqu e es e es,adjectif,,,aristocratiqu,,,1,e,es,e,es
a_aristotélicien,,a,adjectif:aristotélicie nne nnes n ns,adjectif,,,aristotélicie,,,1,nne,nnes,n,ns
a_armé,,a,adjectif:arm ée ées é és,adjectif,,,arm,,,1,ée,ées,é,és
a_arraché,,a,adjectif:arrach ée ées é és,adjectif,,,arrach,,,1,ée,ées,é,és
a_arrêté,,a,adjectif:arrêt ée ées é és,adjectif,,,arrêt,,,1,ée,ées,é,és
a_arrivé,,a,adjectif:arriv ée ées é és,adjectif,,,arriv,,,1,ée,ées,é,és
a_articulé,,a,adjectif:articul ée ées é és,adjectif,,,articul,,,1,ée,ées,é,és
a_artificiel,,a,adjectif:artificie lle lles l ls,adjectif,,,artificie,,,1,lle,lles,l,ls
a_artiste,,a,adjectif:artist e es e es,adjectif,,,artist,,,1,e,es,e,es
a_ascendant,,a,adjectif:ascendan te tes t ts,adjectif,,,ascendan,,,1,te,tes,t,ts
a_ascétique,,a,adjectif:ascétiqu e es e es,adjectif,,,ascétiqu,,,1,e,es,e,es
a_asiatique,,a,adjectif:asiatiqu e es e es,adjectif,,,asiatiqu,,,1,e,es,e,es
a_aspect 1,,a,generateur:[a_abstrait],generateur,,,,,,,,,,
,,,generateur:[a_acceptable],generateur,,,,,,,,,,
,,,generateur:[a_acéphale],generateur,,,,,,,,,,
,,,generateur:[a_acide],generateur,,,,,,,,,,
,,,generateur:[a_agile],generateur,,,,,,,,,,
,,,generateur:[a_agricole],generateur,,,,,,,,,,
,,,generateur:[a_amical],generateur,,,,,,,,,,
,,,generateur:[a_andalou],generateur,,,,,,,,,,
,,,generateur:[a_androgyne],generateur,,,,,,,,,,
,,,generateur:[a_annuel],generateur,,,,,,,,,,
,,,generateur:[a_apaisant],generateur,,,,,,,,,,
,,,generateur:[a_apparent],generateur,,,,,,,,,,
,,,generateur:[a_aquatique],generateur,,,,,,,,,,
,,,generateur:[a_aqueux],generateur,,,,,,,,,,
,,,generateur:[a_ardant],generateur,,,,,,,,,,
,,,generateur:[a_argenté],generateur,,,,,,,,,,
,,,generateur:[a_aristocratique],generateur,,,,,,,,,,
,,,generateur:[a_articulé],generateur,,,,,,,,,,
,,,generateur:[a_ascendant],generateur,,,,,,,,,,
,,,generateur:[a_assourdissant],generateur,,,,,,,,,,
,,,generateur:[a_astral],generateur,,,,,,,,,,
,,,generateur:[a_astrologique],generateur,,,,,,,,,,
,,,generateur:[a_automatique],generateur,,,,,,,,,,
,,,generateur:[a_avachi],generateur,,,,,,,,,,
,,,generateur:[a_bas],generateur,,,,,,,,,,
,,,generateur:[a_caillouteux],generateur,,,,,,,,,,
,,,generateur:[a_cave],generateur,,,,,,,,,,
,,,generateur:[a_cendré],generateur,,,,,,,,,,
,,,generateur:[a_commun 3],generateur,,,,,,,,,,
,,,generateur:[a_contemporain],generateur,,,,,,,,,,
,,,generateur:[a_digital],generateur,,,,,,,,,,
,,,generateur:[a_douteux],generateur,,,,,,,,,,
,,,generateur:[a_doux]-[a_amer],generateur,,,,,,,,,,
,,,generateur:[a_écarlate],generateur,,,,,,,,,,
,,,generateur:[a_écartelé],generateur,,,,,,,,,,
,,,generateur:[a_érogène],generateur,,,,,,,,,,
,,,generateur:[a_étrange 2],generateur,,,,,,,,,,
,,,generateur:[a_exotique],generateur,,,,,,,,,,
,,,generateur:[a_expérimental],generateur,,,,,,,,,,
,,,generateur:[a_explosif],generateur,,,,,,,,,,
,,,generateur:[a_fantaisiste 2],generateur,,,,,,,,,,
,,,generateur:[a_fragile 2],generateur,,,,,,,,,,
,,,generateur:[a_frisé],generateur,,,,,,,,,,
,,,generateur:[a_géométrique],generateur,,,,,,,,,,
,,,generateur:[a_glorieux],generateur,,,,,,,,,,
,,,generateur:[a_granuleux],generateur,,,,,,,,,,
,,,generateur:[a_haut],generateur,,,,,,,,,,
,,,generateur:[a_héliotrope],generateur,,,,,,,,,,
,,,generateur:[a_hirsute],generateur,,,,,,,,,,
,,,generateur:[a_inspiré],generateur,,,,,,,,,,
,,,generateur:[a_juxtaposé],generateur,,,,,,,,,,
,,,generateur:[a_laiteux],generateur,,,,,,,,,,
,,,generateur:[a_ligneux],generateur,,,,,,,,,,
,,,generateur:[a_littéraire],generateur,,,,,,,,,,
,,,generateur:[a_médicinal],generateur,,,,,,,,,,
,,,generateur:[a_métaphysique],generateur,,,,,,,,,,
,,,generateur:[a_minéral],generateur,,,,,,,,,,
,,,generateur:[a_moucheté],generateur,,,,,,,,,,
,,,generateur:[a_moyen],generateur,,,,,,,,,,
,,,generateur:[a_multicolore],generateur,,,,,,,,,,
,,,generateur:[a_mural],generateur,,,,,,,,,,
,,,generateur:[a_nerveux],generateur,,,,,,,,,,
,,,generateur:[a_noueux],generateur,,,,,,,,,,
,,,generateur:[a_officinal],generateur,,,,,,,,,,
,,,generateur:[a_orthodoxe],generateur,,,,,,,,,,
,,,generateur:[a_pierreux],generateur,,,,,,,,,,
,,,generateur:[a_plastifié],generateur,,,,,,,,,,
,,,generateur:[a_plat],generateur,,,,,,,,,,
,,,generateur:[a_poétique],generateur,,,,,,,,,,
,,,generateur:[a_polyèdre],generateur,,,,,,,,,,
,,,generateur:[a_positif],generateur,,,,,,,,,,
,,,generateur:[a_précieux 1],generateur,,,,,,,,,,
,,,generateur:[a_primitif],generateur,,,,,,,,,,
,,,generateur:[a_pulpeux],generateur,,,,,,,,,,
,,,generateur:[a_purgatif],generateur,,,,,,,,,,
,,,generateur:[a_rampant],generateur,,,,,,,,,,
,,,generateur:[a_remarquable 1],generateur,,,,,,,,,,
,,,generateur:[a_romanesque],generateur,,,,,,,,,,
,,,generateur:[a_romantique],generateur,,,,,,,,,,
,,,generateur:[a_rougeâtre],generateur,,,,,,,,,,
,,,generateur:[a_rythmique],generateur,,,,,,,,,,
,,,generateur:[a_sanguin],generateur,,,,,,,,,,
,,,generateur:[a_satiné],generateur,,,,,,,,,,
,,,generateur:[a_sauvage 1],generateur,,,,,,,,,,
,,,generateur:[a_schisteux],generateur,,,,,,,,,,
,,,generateur:[a_scintillant],generateur,,,,,,,,,,
,,,generateur:[a_sculpté],generateur,,,,,,,,,,
,,,generateur:[a_tacheté],generateur,,,,,,,,,,
,,,generateur:[a_terrestre],generateur,,,,,,,,,,
,,,generateur:[a_théorique],generateur,,,,,,,,,,
,,,generateur:[a_tigré],generateur,,,,,,,,,,
,,,generateur:[a_toilé],generateur,,,,,,,,,,
,,,generateur:[a_toxique],generateur,,,,,,,,,,
,,,generateur:[a_translucide],generateur,,,,,,,,,,
,,,generateur:[a_tremblant],generateur,,,,,,,,,,
,,,generateur:[a_triangulaire],generateur,,,,,,,,,,
,,,generateur:[a_tricolore],generateur,,,,,,,,,,
,,,generateur:[a_triple],generateur,,,,,,,,,,
,,,generateur:[a_véreux],generateur,,,,,,,,,,
,,,generateur:[a_vitreux],generateur,,,,,,,,,,
,,,generateur:[a_vitrifié],generateur,,,,,,,,,,
,,,generateur:[a_vivace],generateur,,,,,,,,,,
a_assailli,,a,adjectif:assaill ie ies i is,adjectif,,,assaill,,,1,ie,ies,i,is
a_asséché,,a,adjectif:asséch ée ées é és,adjectif,,,asséch,,,1,ée,ées,é,és
a_assiégé,,a,adjectif:assiég ée ées é és,adjectif,,,assiég,,,1,ée,ées,é,és
a_assis,,a,adjectif:assi se ses s s,adjectif,,,assi,,,1,se,ses,s,s
a_associé,,a,adjectif:associé e es  s,adjectif,,,associé,,,1,e,es,,s
